timestamp,strategy,mode,action,direction,symbol,right,strike,expiry,qty,spot,entry_price,exit_price,pnl,cum_pnl,reason,ref
2026-08-04 14:54:12,SMA Crossover,PAPER,ENTRY,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,24474.5,177.2,,,,,
2026-08-04 14:59:06,HeikinAshi,PAPER,EXIT,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,,176.0,174.3,-110.49999999999926,,REVERSAL_TO_SHORT,
2026-08-04 14:59:06,HeikinAshi,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24467.1,125.95,,,,,
2026-08-04 15:00:07,Goldmine,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,130,24468.3,126.05,,,,,
2026-08-04 15:04:03,Parabolic SAR,PAPER,EXIT,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,,171.4,170.65,-48.75,,SAR_FLIP,
2026-08-04 15:04:08,Parabolic SAR,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24455.15,129.6,,,,,
2026-08-04 15:04:28,Goldmine,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,130,,126.05,130.5,578.5000000000003,,TIME_EXIT,
2026-08-04 15:14:01,SupertrendBullish,PAPER,EXIT,LONG,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-04,65,,167.35,174.4,42.24999999999932,,TIME_CUTOFF,
2026-08-04 15:14:01,SupertrendBullish,PAPER,EXIT,LONG,NIFTY-Aug2026-24400-PE,PE,24400.0,2026-08-04,65,,12.4,20.1,42.24999999999932,,TIME_CUTOFF,
2026-08-04 15:14:04,SMA Crossover,PAPER,EXIT,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,,177.2,179.0,117.00000000000074,,OPPOSITE_SIGNAL,
2026-08-04 15:14:09,SMA Crossover,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24453.55,124.55,,,,,
2026-08-04 15:14:53,OpeningStrike,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,130,,137.5,196.35,7650.499999999999,,TRAILING_SL_3R,
2026-08-04 15:15:00,Parabolic SAR,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,129.6,120.65,-581.7499999999993,,TIME_CUTOFF,
